name,depth,path,has_children
Timeout,3,requests.exceptions.Timeout.Timeout,False
ConnectTimeout,2,requests.exceptions.ConnectTimeout,True
ConnectTimeout,3,requests.exceptions.ConnectTimeout.ConnectTimeout,False
ReadTimeout,2,requests.exceptions.ReadTimeout,True
ReadTimeout,3,requests.exceptions.ReadTimeout.ReadTimeout,False
URLRequired,2,requests.exceptions.URLRequired,True
URLRequired,3,requests.exceptions.URLRequired.URLRequired,False
TooManyRedirects,2,requests.exceptions.TooManyRedirects,True
TooManyRedirects,3,requests.exceptions.TooManyRedirects.TooManyRedirects,False
MissingSchema,2,requests.exceptions.MissingSchema,True
MissingSchema,3,requests.exceptions.MissingSchema.MissingSchema,False
InvalidSchema,2,requests.exceptions.InvalidSchema,True
InvalidSchema,3,requests.exceptions.InvalidSchema.InvalidSchema,False
InvalidURL,2,requests.exceptions.InvalidURL,True
InvalidURL,3,requests.exceptions.InvalidURL.InvalidURL,False
InvalidHeader,2,requests.exceptions.InvalidHeader,True
InvalidHeader,3,requests.exceptions.InvalidHeader.InvalidHeader,False
InvalidProxyURL,2,requests.exceptions.InvalidProxyURL,True
InvalidProxyURL,3,requests.exceptions.InvalidProxyURL.InvalidProxyURL,False
ChunkedEncodingError,2,requests.exceptions.ChunkedEncodingError,True
ChunkedEncodingError,3,requests.exceptions.ChunkedEncodingError.ChunkedEncodingError,False
ContentDecodingError,2,requests.exceptions.ContentDecodingError,True
ContentDecodingError,3,requests.exceptions.ContentDecodingError.ContentDecodingError,False
StreamConsumedError,2,requests.exceptions.StreamConsumedError,True
StreamConsumedError,3,requests.exceptions.StreamConsumedError.StreamConsumedError,False
RetryError,2,requests.exceptions.RetryError,True
RetryError,3,requests.exceptions.RetryError.RetryError,False
UnrewindableBodyError,2,requests.exceptions.UnrewindableBodyError,True
UnrewindableBodyError,3,requests.exceptions.UnrewindableBodyError.UnrewindableBodyError,False
RequestsWarning,2,requests.exceptions.RequestsWarning,True
RequestsWarning,3,requests.exceptions.RequestsWarning.RequestsWarning,False
FileModeWarning,2,requests.exceptions.FileModeWarning,True
FileModeWarning,3,requests.exceptions.FileModeWarning.FileModeWarning,False
RequestsDependencyWarning,2,requests.exceptions.RequestsDependencyWarning,True
RequestsDependencyWarning,3,requests.exceptions.RequestsDependencyWarning.RequestsDependencyWarning,False
help,1,requests.help,True
info,2,requests.help.info,False
main,2,requests.help.main,False
hooks,1,requests.hooks,True
default_hooks,2,requests.hooks.default_hooks,False
dispatch_hook,2,requests.hooks.dispatch_hook,False
models,1,requests.models,True
RequestEncodingMixin,2,requests.models.RequestEncodingMixin,True
RequestEncodingMixin,3,requests.models.RequestEncodingMixin.RequestEncodingMixin,False
path_url,3,requests.models.RequestEncodingMixin.path_url,False
RequestHooksMixin,2,requests.models.RequestHooksMixin,True
RequestHooksMixin,3,requests.models.RequestHooksMixin.RequestHooksMixin,False
register_hook,3,requests.models.RequestHooksMixin.register_hook,False
deregister_hook,3,requests.models.RequestHooksMixin.deregister_hook,False
Request,2,requests.models.Request,True
Request,3,requests.models.Request.Request,False
prepare,3,requests.models.Request.prepare,False
PreparedRequest,2,requests.models.PreparedRequest,True
PreparedRequest,3,requests.models.PreparedRequest.PreparedRequest,False
prepare,3,requests.models.PreparedRequest.prepare,False
copy,3,requests.models.PreparedRequest.copy,False
prepare_method,3,requests.models.PreparedRequest.prepare_method,False
prepare_url,3,requests.models.PreparedRequest.prepare_url,False
prepare_headers,3,requests.models.PreparedRequest.prepare_headers,False
prepare_body,3,requests.models.PreparedRequest.prepare_body,False
prepare_content_length,3,requests.models.PreparedRequest.prepare_content_length,False
prepare_auth,3,requests.models.PreparedRequest.prepare_auth,False
prepare_cookies,3,requests.models.PreparedRequest.prepare_cookies,False
prepare_hooks,3,requests.models.PreparedRequest.prepare_hooks,False
Response,2,requests.models.Response,True
Response,3,requests.models.Response.Response,False
ok,3,requests.models.Response.ok,False
is_redirect,3,requests.models.Response.is_redirect,False
is_permanent_redirect,3,requests.models.Response.is_permanent_redirect,False
next,3,requests.models.Response.next,False
apparent_encoding,3,requests.models.Response.apparent_encoding,False
iter_content,3,requests.models.Response.iter_content,False
iter_lines,3,requests.models.Response.iter_lines,False
content,3,requests.models.Response.content,False
text,3,requests.models.Response.text,False
json,3,requests.models.Response.json,False
links,3,requests.models.Response.links,False
raise_for_status,3,requests.models.Response.raise_for_status,False
close,3,requests.models.Response.close,False
to_native_string,2,requests.models.to_native_string,False
unicode_is_ascii,2,requests.models.unicode_is_ascii,False
HTTPBasicAuth,2,requests.models.HTTPBasicAuth,True
HTTPBasicAuth,3,requests.models.HTTPBasicAuth.HTTPBasicAuth,False
cookiejar_from_dict,2,requests.models.cookiejar_from_dict,False
get_cookie_header,2,requests.models.get_cookie_header,False
ChunkedEncodingError,2,requests.models.ChunkedEncodingError,True
ChunkedEncodingError,3,requests.models.ChunkedEncodingError.ChunkedEncodingError,False
ConnectionError,2,requests.models.ConnectionError,True
ConnectionError,3,requests.models.ConnectionError.ConnectionError,False
ContentDecodingError,2,requests.models.ContentDecodingError,True
ContentDecodingError,3,requests.models.ContentDecodingError.ContentDecodingError,False
HTTPError,2,requests.models.HTTPError,True
HTTPError,3,requests.models.HTTPError.HTTPError,False
InvalidJSONError,2,requests.models.InvalidJSONError,True
InvalidJSONError,3,requests.models.InvalidJSONError.InvalidJSONError,False
InvalidURL,2,requests.models.InvalidURL,True
InvalidURL,3,requests.models.InvalidURL.InvalidURL,False
JSONDecodeError,2,requests.models.JSONDecodeError,True
JSONDecodeError,3,requests.models.JSONDecodeError.JSONDecodeError,False
MissingSchema,2,requests.models.MissingSchema,True
MissingSchema,3,requests.models.MissingSchema.MissingSchema,False
SSLError,2,requests.models.SSLError,True
SSLError,3,requests.models.SSLError.SSLError,False
StreamConsumedError,2,requests.models.StreamConsumedError,True
StreamConsumedError,3,requests.models.StreamConsumedError.StreamConsumedError,False
default_hooks,2,requests.models.default_hooks,False
CaseInsensitiveDict,2,requests.models.CaseInsensitiveDict,True
CaseInsensitiveDict,3,requests.models.CaseInsensitiveDict.CaseInsensitiveDict,False
lower_items,3,requests.models.CaseInsensitiveDict.lower_items,False
copy,3,requests.models.CaseInsensitiveDict.copy,False
check_header_validity,2,requests.models.check_header_validity,False
get_auth_from_url,2,requests.models.get_auth_from_url,False
guess_filename,2,requests.models.guess_filename,False
guess_json_utf,2,requests.models.guess_json_utf,False
iter_slices,2,requests.models.iter_slices,False
parse_header_links,2,requests.models.parse_header_links,False
requote_uri,2,requests.models.requote_uri,False
stream_decode_response_unicode,2,requests.models.stream_decode_response_unicode,False
super_len,2,requests.models.super_len,False
to_key_val_list,2,requests.models.to_key_val_list,False
packages,1,requests.packages,False
sessions,1,requests.sessions,True
merge_setting,2,requests.sessions.merge_setting,False
merge_hooks,2,requests.sessions.merge_hooks,False
SessionRedirectMixin,2,requests.sessions.SessionRedirectMixin,True
SessionRedirectMixin,3,requests.sessions.SessionRedirectMixin.SessionRedirectMixin,False
get_redirect_target,3,requests.sessions.SessionRedirectMixin.get_redirect_target,False
should_strip_auth,3,requests.sessions.SessionRedirectMixin.should_strip_auth,False
resolve_redirects,3,requests.sessions.SessionRedirectMixin.resolve_redirects,False
rebuild_auth,3,requests.sessions.SessionRedirectMixin.rebuild_auth,False
rebuild_proxies,3,requests.sessions.SessionRedirectMixin.rebuild_proxies,False
rebuild_method,3,requests.sessions.SessionRedirectMixin.rebuild_method,False
Session,2,requests.sessions.Session,True
Session,3,requests.sessions.Session.Session,False
prepare_request,3,requests.sessions.Session.prepare_request,False
request,3,requests.sessions.Session.request,False
get,3,requests.sessions.Session.get,False
